item_topic,source_topic,age_segment,dt,Others,Top and Other,record_id,visits
Деньги,Знаменитости,36-40,9/24/2019 6:30:00 PM,Others,Знаменитости,1040858,1
Деньги,Знаменитости,36-40,9/24/2019 6:32:00 PM,Others,Знаменитости,1040859,3
Деньги,Знаменитости,36-40,9/24/2019 6:53:00 PM,Others,Знаменитости,1040860,1
Деньги,Знаменитости,36-40,9/24/2019 6:54:00 PM,Others,Знаменитости,1040861,6
Деньги,Знаменитости,36-40,9/24/2019 6:55:00 PM,Others,Знаменитости,1040862,6
Деньги,Знаменитости,36-40,9/24/2019 6:56:00 PM,Others,Знаменитости,1040863,14
Деньги,Знаменитости,36-40,9/24/2019 6:57:00 PM,Others,Знаменитости,1040864,24
Деньги,Знаменитости,36-40,9/24/2019 6:58:00 PM,Others,Знаменитости,1040865,22
Деньги,Знаменитости,36-40,9/24/2019 6:59:00 PM,Others,Знаменитости,1040866,16
Деньги,Знаменитости,36-40,9/24/2019 7:00:00 PM,Others,Знаменитости,1040867,7
Деньги,Знаменитости,41-45,9/24/2019 6:55:00 PM,Others,Знаменитости,1040868,3
Деньги,Знаменитости,41-45,9/24/2019 6:56:00 PM,Others,Знаменитости,1040869,3
Деньги,Знаменитости,41-45,9/24/2019 6:57:00 PM,Others,Знаменитости,1040870,15
Деньги,Знаменитости,41-45,9/24/2019 6:58:00 PM,Others,Знаменитости,1040871,8
Деньги,Знаменитости,41-45,9/24/2019 6:59:00 PM,Others,Знаменитости,1040872,5
Деньги,Знаменитости,45+,9/24/2019 6:29:00 PM,Others,Знаменитости,1040873,1
Деньги,Знаменитости,45+,9/24/2019 6:55:00 PM,Others,Знаменитости,1040874,1
Деньги,Знаменитости,45+,9/24/2019 6:56:00 PM,Others,Знаменитости,1040875,1
Деньги,Знаменитости,45+,9/24/2019 6:57:00 PM,Others,Знаменитости,1040876,4
Деньги,Знаменитости,45+,9/24/2019 6:58:00 PM,Others,Знаменитости,1040877,9
Деньги,Знаменитости,45+,9/24/2019 6:59:00 PM,Others,Знаменитости,1040878,2
Деньги,Знаменитости,45+,9/24/2019 7:00:00 PM,Others,Знаменитости,1040879,2
Деньги,Интерьеры,18-25,9/24/2019 6:29:00 PM,Others,Другие,1040880,1
Деньги,Интерьеры,18-25,9/24/2019 6:54:00 PM,Others,Другие,1040881,3
Деньги,Интерьеры,18-25,9/24/2019 6:56:00 PM,Others,Другие,1040882,7
Деньги,Интерьеры,18-25,9/24/2019 6:57:00 PM,Others,Другие,1040883,4
Деньги,Интерьеры,18-25,9/24/2019 6:58:00 PM,Others,Другие,1040884,4
Деньги,Интерьеры,18-25,9/24/2019 6:59:00 PM,Others,Другие,1040885,5
Деньги,Интерьеры,18-25,9/24/2019 7:00:00 PM,Others,Другие,1040886,3
Деньги,Интерьеры,26-30,9/24/2019 6:55:00 PM,Others,Другие,1040887,5
Деньги,Интерьеры,26-30,9/24/2019 6:56:00 PM,Others,Другие,1040888,1
Деньги,Интерьеры,26-30,9/24/2019 6:57:00 PM,Others,Другие,1040889,4
Деньги,Интерьеры,26-30,9/24/2019 6:58:00 PM,Others,Другие,1040890,2
Деньги,Интерьеры,26-30,9/24/2019 6:59:00 PM,Others,Другие,1040891,3
Деньги,Интерьеры,31-35,9/24/2019 6:30:00 PM,Others,Другие,1040892,1
Деньги,Интерьеры,31-35,9/24/2019 6:54:00 PM,Others,Другие,1040893,1
Деньги,Интерьеры,31-35,9/24/2019 6:55:00 PM,Others,Другие,1040894,1
Деньги,Интерьеры,31-35,9/24/2019 6:56:00 PM,Others,Другие,1040895,2
